ids,ARAF,ERN1,CIT,MAPK14,PRKCI,MAP4K5,TAOK3,CAMKK2,SRPK1,TNK2,CSNK1E,PLK1,IRAK1,MAP3K1,PDGFRB,CDK2,RPS6KA2,TTK,CDK9,YES1,MAPK1,MAPK3,MAP4K4,MINK1,PAK3,SRPK3,PIK3CA,KIT,PAK1,MAP2K1,LIMK1,LIMK2,PIK3CB,ABL1,CDK6,ABL2,AKT1,AKT2,CAMK2D,MAST1,PRKACA,MAPK9,LATS1,CDK1,CDK5,STK4,CDK4,ROCK1,ROCK2,MTOR,STK3,PHKG2,MAPKAPK2,DYRK2,MAP3K3,ULK1,PAK2,CAMK2G,MAP3K15,CAMK2A,CSNK2A2,EIF2AK1,MELK,PAK4,RPS6KA3,RPS6KA4,MKNK2,CDKL5,HIPK3,CDK17,FYN,MAP3K2,PKN2,TAOK1,PRKACB,MARK3,CLK1,AURKB,RPS6KB1,RPS6KA6,AKT3,BMP2K,CLK2,MAP3K11,SIK2,CDK7,PRKAA1,PRKD3,CLK4,RIPK3
F9136,0.502623501,0.560137318,1.320761909,0.527896998,0.891839781,0.423370858,1.387444579,1.3556869,0.769131281,0.751209132,0.509020084,0.755009395,1.291918375,0.500488843,0.834400661,0.171914725,0.958529814,0.153984564,0.556847845,0.850961611,0.612880273,0.612880273,0.88350716,0.954353577,0.251297192,0.02592936,0.415358842,0.643665358,0.515226243,0.774838287,0.127985161,0.127985161,0.894242022,0.00565453,2.598066168,0.235425858,1.994799176,1.994799176,0.645316386,0.961952463,0.247230437,0.889584965,0.240550434,0.827560869,0.827560869,1.033373234,-0.162065004,0.415273135,0.415273135,1.181639835,0.348782992,0.33201945,-0.10432299,0.072429161,0.493624309,2.241477466,-0.035490281,0.449910115,-0.024511245,0.48766728,0.15742791,1.580643235,1.240523473,0.70852905,0.291668444,0.611083815,-2.476583024,0.093884688,-0.778046133,1.100086027,0.453813384,0.192515806,-0.078472148,1.419933242,0.908571063,2.258635987,0.1440309,0.200392201,1.045703022,0.262523871,-0.0367331,0.031667459,0.093104909,4.310362694,1.070245323,0.523108122,0.091083126,0.072167602,0.049754126,-1.410349584
R1519,0.711642942,1.031649044,1.060764665,0.53313593,0.947525412,0.481627192,1.174315441,1.329665933,0.488414015,0.489664884,0.528115242,0.826774407,0.777683538,0.502638132,0.952002059,0.119357455,1.575744316,0.376933878,0.304841723,0.74425871,0.687505828,0.687505828,0.858645393,0.729500171,0.211964865,0.016455255,0.474343022,0.524202018,0.586044555,0.916501632,0.512748931,0.512748931,1.095543694,0.115535586,2.551037922,0.371510243,1.068780253,1.068780253,0.630241702,0.574505095,0.657360536,0.730639235,0.883123434,0.366229139,0.366229139,0.797533803,-0.073973435,1.19094458,1.19094458,1.341866117,0.776046861,0.548092722,-0.04421221,0.284446845,1.30403646,1.678361253,-0.004453422,0.579915789,0.045362502,0.48361511,0.279372371,1.591930462,0.574149454,1.261265563,0.661809894,0.866236279,-0.479558937,0.364408595,0.661425731,1.439883352,0.952197168,0.702346181,-0.021189703,2.436117796,0.14248353,1.747729021,0.698788206,0.500399437,0.732744505,0.623002902,0.446790878,-0.024651942,0.191720207,3.189302286,0.511836209,0.365244712,0.032062872,0.330624714,0.190952005,-0.253641261
R3221,0.404651921,0.262418452,0.461239785,0.703989579,0.596186014,0.365365751,0.419121755,0.514027437,0.299167668,0.274963747,0.208898955,0.79644645,0.376986735,0.158356469,0.785087049,0.026455345,1.8298766,0.446853364,-0.049280449,0.253094245,0.765721333,0.765721333,0.245484371,0.191748257,0.100998609,1.234023058,0.176164505,0.244596933,0.840447604,0.616561412,1.21445373,1.21445373,0.857161206,0.809489254,0.44618877,0.53303566,0.432002931,0.432002931,0.199801156,0.475873938,0.324020504,0.028081834,0.263677077,0.470387163,0.470387163,0.639730807,-0.045632394,1.946167368,1.946167368,1.359061259,0.351519968,0.725885551,-0.125474103,0.259636597,-0.085856716,2.195441742,-0.083626343,0.335489866,-0.04248661,0.321308899,0.147226797,0.966077124,1.557419666,1.150816182,0.567534126,0.296322985,-0.443568615,0.179245642,-0.742664331,0.408607593,0.482554678,-0.024386605,-0.021983849,2.810012997,0.508619301,1.593854217,1.204446591,2.960303408,0.100097245,0.708712877,-0.166805891,-0.011480217,1.157498156,5.067226058,1.510863741,0.251033582,0.582143931,2.824431213,1.607201926,0.021599545
R3762,0.47011903,0.610625893,1.064659204,0.228571274,0.583554683,0.442329465,1.43072575,1.301477881,0.600284903,0.60697739,0.505969548,1.033407974,1.120742218,0.516739504,0.852395845,0.26701916,1.428698981,0.113453238,0.572949816,0.86317156,0.680312004,0.680312004,0.845824257,0.692328509,0.158034008,0.070719631,0.428388353,0.756357363,0.898963089,1.261287155,0.393825799,0.393825799,0.570381009,0.389842605,1.664681519,0.224732706,1.191346174,1.191346174,0.301465178,0.923342774,0.375564672,0.574176747,0.420605986,0.341153341,0.341153341,0.563810638,-0.067917989,0.63774385,0.63774385,2.424361141,1.320570765,0.3676554,0.045989671,0.090374138,0.827636116,1.604299458,-0.020639672,0.403043523,0.043536111,0.377258065,0.333148795,1.031104236,1.145319694,1.355091675,0.61709943,0.478681515,-0.2229438,0.157175654,-0.750189325,0.576148053,0.163886018,0.315813978,-0.038983122,1.192615255,0.456745024,1.76263544,0.304885906,-0.028554424,0.333123784,0.512011229,0.308730128,-0.002591777,0.116204567,4.206068192,0.218350579,0.37154867,0.161520575,0.096299451,0.06213569,0.951278448
R5657,0.664693989,0.677108551,0.673460208,0.359112776,0.716024071,0.448237497,0.646867407,0.707386332,0.434452827,0.932448196,0.443360558,0.366391553,0.535013673,0.672256565,0.477447951,0.155224238,1.388286309,0.391625649,0.392291376,1.034734033,0.35019593,0.35019593,0.570412773,0.524706784,0.208241331,0.098354519,0.827683033,0.480441331,0.640502966,1.143423141,0.515798131,0.515798131,0.827095909,0.136583518,0.774334211,0.182750196,1.095914031,1.095914031,0.45871741,1.181331736,0.236757862,0.449592098,0.325245701,0.689880202,0.689880202,0.794141532,-0.064858033,0.804981216,0.804981216,2.33038229,1.712332599,0.578720212,0.001027049,-0.085550386,1.682045,1.797730659,0.009170901,0.718141886,0.015150864,1.036019823,0.19267176,2.498949301,1.632784473,1.436410916,0.454059767,1.37182674,-0.244471894,0.215807748,0.550594757,1.476892728,1.1574126,0.61960139,-0.029169134,1.534235708,1.497037831,1.88976363,0.221271169,0.27772421,0.460102813,0.181957513,0.265307946,0.032401203,0.027645247,2.983632433,0.707747374,0.903392861,0.324770968,0.101092764,0.053140364,-1.64752756
R7919,0.547469133,0.536115558,0.935336483,0.303875327,0.486057672,0.495115205,1.214697706,1.195532477,0.848090544,1.137221342,0.566691397,0.783814775,0.964821031,0.606670293,0.638940388,0.230919924,0.83455437,0.474579935,0.5277837,0.680148505,0.496894359,0.496894359,0.67296512,0.805063565,0.234509466,0.010362982,1.1610129,0.507385249,0.527417286,1.129537141,1.23402515,1.23402515,1.191483111,0.373425385,2.987085762,0.204871469,1.689933589,1.689933589,0.35377332,1.346810056,0.681024756,0.37996657,0.917566866,1.169020832,1.169020832,1.849730283,-0.059202922,1.760581014,1.760581014,3.491565026,1.370395383,0.349420085,-0.040931484,0.022753607,0.800717908,2.074146097,-0.003536016,1.094109136,-0.048543973,0.996876291,0.07480347,4.965088914,1.1307595,1.230574399,0.417212365,1.242761674,-0.278166622,0.287973475,0.801617741,1.360717324,0.606184673,0.816072956,-0.036759018,1.76354697,0.584839022,1.136678684,0.286009861,0.136368871,2.218925745,0.648696887,0.29697948,0.078916697,0.11903663,3.882138273,0.390701563,0.916227178,0.096821991,0.539768087,0.320635487,-0.084665346
R8774,0.638844815,0.87986445,1.337364956,0.571891211,0.959179244,0.433469259,1.785268295,1.560928166,0.522850468,0.594816636,0.443804454,0.714848198,1.650242347,0.525732193,0.750877648,0.045465236,1.218270468,0.690614737,0.623272499,0.847833551,0.700998842,0.700998842,0.773087133,1.069777138,0.115957159,0.078954521,0.563666235,0.613364373,0.538984094,1.047839664,0.84355009,0.84355009,0.765547924,0.453449849,1.993063537,0.465615739,1.345668559,1.345668559,0.400892125,1.154498843,1.035043503,0.788436275,1.327750394,0.586845643,0.586845643,1.490716367,-0.088435144,1.261024502,1.261024502,0.982427885,0.757357129,0.539248213,-0.059715914,0.082695653,0.597628621,1.644516468,0.039008331,0.395338835,-0.074443669,0.251936093,0.08287005,1.666115377,1.627981154,1.678397026,0.774145329,0.63145163,-1.035612711,0.111727015,0.579285771,1.542905119,0.689116555,0.331462271,-0.045366174,2.403513331,0.754210224,1.220602185,0.326294766,0.103015079,1.313838268,0.265042585,0.301683182,-0.007761114,-0.016660644,3.058963498,0.351638597,0.37708022,0.432115588,0.03716225,0.009700643,-2.048320488
R8804,0.651795937,0.634101827,1.416785922,0.642154131,0.779970005,0.585336165,1.407960951,1.633408644,0.562240283,0.939077656,0.360052101,0.57321157,1.095355265,0.568415185,0.569575926,-0.004813211,1.281594617,0.724313875,0.498490977,0.712205077,0.53650292,0.53650292,0.57749781,0.839140252,0.185801458,0.266832419,0.613668594,0.619075661,0.729400096,1.883856458,0.571437885,0.571437885,0.528632236,0.3801788,1.460845166,0.181225849,1.574102271,1.574102271,0.793595691,1.637424561,0.265742624,0.60375475,0.301824793,0.815002524,0.815002524,0.9906808,-0.167713753,1.869488536,1.869488536,2.282290166,1.420464258,0.483262821,-0.034584919,0.003716915,0.589689321,2.083968002,-0.636291606,0.84570077,-0.037519928,1.006955961,0.2075214,1.707011218,1.869492018,1.123147611,0.651800013,1.325370946,-0.522775664,0.324607158,0.043035272,1.324306377,0.550685153,0.391396689,0.003986358,1.121435837,0.389365013,3.543984705,0.250054793,0.486379953,0.673185276,0.485176132,0.160228826,0.000331203,0.087009324,3.562345627,0.345213584,0.817031533,0.606821293,0.319678522,0.176205553,-1.632173241
R9150,0.885949012,0.926854683,1.247559094,0.255449232,0.999838709,0.494071442,1.303249969,1.286516165,0.368238558,0.440322412,0.491201751,0.356308601,1.349354236,0.494923885,0.549391488,0.519720407,0.81898886,0.607664146,0.562178814,0.428034047,0.869941939,0.869941939,0.387816963,0.837360793,0.179654187,-0.009272483,0.420997982,0.394655291,0.418786751,1.078377151,0.680655031,0.680655031,1.040633741,0.458706089,0.766527263,0.265551719,1.747125819,1.747125819,0.322464412,0.805373252,0.613567872,1.388944094,2.229892429,2.263351436,2.263351436,1.320750977,-0.024933752,0.744606581,0.744606581,0.834029999,1.084550431,0.528838994,-0.017162295,-0.009171591,0.522141745,1.583313242,0.019348556,0.653920567,0.02601661,0.213298058,0.191001436,1.023764296,1.324943361,1.210429754,0.438820274,0.598422455,-0.21987759,0.187838563,-0.06549495,3.209459396,0.33616927,0.409531883,-0.024050701,-0.0249394,1.109623963,4.044483672,0.23236969,-0.027159465,0.366589619,0.190489002,0.439260942,0.048569877,0.086866013,3.203046826,0.163334278,0.440946966,4.437849559,0.058160204,0.042346731,0.249220546
R9318,0.388918031,0.396839967,0.266834622,0.213573064,0.705675873,0.352150438,0.38229876,0.429708404,0.477008686,0.45792201,0.250921179,0.441001627,0.255516932,0.372696263,0.488296717,0.049299011,1.077866092,-0.065054358,0.227545503,0.696037394,0.283575138,0.283575138,0.522219471,0.244584252,0.194349581,-0.198359389,1.091803271,0.337608497,0.825040801,0.512852297,-0.197625966,-0.197625966,0.816307775,-0.193783181,2.721101631,0.151643717,1.200942749,1.200942749,0.38441803,0.419028539,0.229731425,0.084400836,0.254831971,0.219354083,0.219354083,0.415528142,-0.089493618,0.219460563,0.219460563,1.951969056,0.553213007,0.16177663,-0.039827158,-0.028068709,0.856869435,3.382809217,0.51385412,0.432930922,-0.085583289,0.299956126,0.091423554,0.626587695,0.687276836,1.490965412,0.383314355,0.612248783,-4.907532849,0.105600181,0.470476873,1.312303828,0.939107928,0.354564131,-0.133181557,0.207342159,0.416425629,2.131224956,0.238821892,-0.001535444,0.777786677,0.195543847,1.526952797,0.005068995,0.095515871,3.540387656,1.307467899,0.618704739,0.055698866,0.089189824,0.079596797,-0.73823185
