"","seed","Train_RMSE","Test_RMSE","Train_p","Test_p","Train_coef","Test_coef","n_features_input","Important_features","important_features_value"
"rho38",116,0.0862783316588949,0.156280311789259,3.52458304966315e-19,0.107721236692871,0.977820519030307,0.610789393575762,31,"MAPK14;SRPK1;TNK2;MAP3K1;CDK9;YES1;MINK1;PIK3CA;MAP2K1;ABL2;CAMK2D;MAST1;MTOR;STK3;MAP3K3;CAMK2G;CAMK2A;MKNK2;CDKL5;RPS6KB1;RIPK3","22.2761999061984;33.5775936740943;32.2739570763922;100;21.6311290371554;31.0219393575646;20.4616947911306;31.3017947601121;67.6678050804906;28.0935978331884;33.7168027985489;41.3837246207066;71.0400248410378;60.4641019866042;72.543134604674;29.568629832926;37.3048495461496;34.9124183161424;43.236634927986;24.3255476581482;53.2504328724379"
"rho39",143,0.080283917167549,0.16806460509831,1.15921503758384e-14,0.0830853174603175,0.950034303249386,0.666666666666667,38,"MAP3K1;MAPK9;MAP3K3;CDKL5;FYN;BMP2K","100;23.3185189577329;70.1514975603413;21.984417717249;23.8851504402179;21.039061475623"
"rho40",227,0.0684137357490212,0.187418279650018,3.21829775917252e-15,0.151140873015873,0.954819420290866,0.571428571428572,24,"SRPK1;MAP2K1;MAPK9;STK3;MAP3K3;CAMK2A;CDKL5;RIPK3","27.1745913066573;83.5875486596062;30.5391310760514;21.0055632152317;100;26.0741730394718;62.8714034709311;38.8260679175575"
"rho41",257,0.0837236904913898,0.158552541397911,5.94106973763466e-13,0.196626984126984,0.931818321551424,0.523809523809524,30,"MAP3K1;MAP2K1;MAP3K3;CDKL5;BMP2K","100;21.9140177219283;25.5436915324689;24.3263174564419;39.2351797067087"
"rho42",223,0.0794464530211312,0.21809217013329,8.25535006244081e-14,0.500793650793651,0.941675935296899,0.285714285714286,28,"MAPK14;TNK2;MAP3K1;CDK9;YES1;PIK3CA;MAP2K1;MAPK9;MTOR;STK3;MAP3K3;CAMK2G;CAMK2A;PAK4;RPS6KA3;RPS6KA4;CDKL5;HIPK3;FYN;CLK1","28.9718513921486;61.0485936613064;74.5189579887172;58.262816644501;29.1101507768259;80.579567117971;64.5744374399522;52.3518971000153;70.1541299604792;71.5615046828088;100;24.0829060894487;39.4998620813096;31.855167609944;25.9776483445552;22.692081686116;39.1792198864058;37.3518943814917;45.1489321298636;24.7572673902063"
"rho43",235,0.0774544684816235,0.213537382417071,2.00008350945378e-15,0.0279265873015873,0.956474166689367,0.785714285714286,28,"MAP3K1;KIT;MAP2K1;MTOR;MKNK2","100;36.9623077740483;62.8384640436501;24.8318353150273;21.2971915341206"
"rho44",313,0.0824703305762269,0.150170532713922,5.86170694211313e-15,0.216170634920635,0.95264170007985,0.5,33,"MAP3K1;MAP2K1;MAP3K3;CDKL5;FYN;PRKACB;BMP2K;RIPK3","100;57.8709721071824;55.7357964522777;54.3149500263758;22.9883601927531;24.6594295749046;61.8482113878766;26.6851755616836"
"rho45",125,0.0833438782089228,0.156662467551871,4.52636328739414e-15,0.196626984126984,0.953593509572798,0.523809523809524,30,"MAP3K1;CDK9;MAP2K1;MAST1;STK3;CDKL5;FYN;RIPK3","61.0226189211294;21.0244929035314;100;33.6494278835035;34.2180542840524;54.39352291124;35.3901945640652;43.0161884427162"
"rho46",95,0.0743247766918915,0.216347359997173,2.65378583563291e-15,0.703323412698413,0.95549796459739,0.166666666666667,28,"MAP3K1;MAP2K1;STK3;MAP3K3;CDKL5;BMP2K","63.4463304233456;100;32.5489622253849;78.5982839299657;29.8283865218653;76.8251869705648"
"rho47",46,0.0859224315631729,0.111296408566487,1.44509928604883e-15,0.0107142857142857,0.957569157149229,0.857142857142857,36,"MAP3K1;MAP2K1;MTOR;MAP3K3;MKNK2;CDKL5;FYN;RIPK3","91.9026523772908;34.9330493118402;25.7216418214571;100;27.1961355768243;22.7678193521257;28.1579378419707;33.8446385647398"
"rho48",42,0.0704718891505216,0.197352830758709,1.04552178261677e-14,0.299206349206349,0.95043825862621,0.428571428571429,26,"MAP4K5;MAP3K1;MAP2K1;MAP3K3;CDKL5;RIPK3","45.6302890929077;100;82.7105540391783;46.4523826380499;46.8312298008745;90.5895021453136"
"rho49",183,0.0736031290359783,0.248718097043781,2.87524067229895e-14,0.582142857142857,0.946330919565596,0.238095238095238,14,"TNK2;MAP3K1;MAP2K1;MTOR;STK3","67.1913307233991;76.3353145691153;29.1303096210489;30.3939480758905;100"
